pmid,title,abstract,journal,pub_date
42236756,"Comparative effects of free and nanomicelle silymarin supplementation on growth, antioxidant status, and fatty acid composition in caspian trout (Salmo caspius) larvae.","This study evaluated the comparative effects of free silymarin (FS) and nanomicelle silymarin (NS) supplementation on growth, antioxidant defenses, and fatty acid composition in Caspian trout (Salmo caspius) larvae. Larvae (0.27 ± 0.01 g) were randomly assigned to triplicate groups and fed either control, FS (200 mg kg⁻¹), or NS (200 mg kg⁻¹) for 60 days. Growth performance indices, antioxidant enzyme activities, fatty acid composition, and leukocyte differentials were assessed. Results showed t...",Scientific reports,2026-Jun
42213158,Microencapsulated docosahexaenoic acid increases the Omega-3 Index and attenuates the physiological impact of eccentric exercise in physically trained adults: a 12-week double-blind placebo-controlled trial.,"This study investigated the effects of docosahexaenoic acid (DHA) supplementation on delayed onset muscle soreness (DOMS), physical function, and inflammation following eccentric exercise-induced muscle damage in physically trained male and female adults (training ≥ 5d/wk).",European journal of nutrition,2026-May
42189275,"Effects of a nutritional supplement containing fish protein, vitamin D, and ω3 fatty acids, taken during high-intensity functional training, on physical performance in recreationally trained individuals: a randomized controlled trial.","Research on supplementation during high-intensity functional training (HIFT) is limited. We examined the effects of a multi-ingredient supplement containing fish protein, vitamin D, and ω3 fatty acids, taken during HIFT, on physical performance in trained individuals.",European journal of nutrition,2026-May
42180603,Effect of polyunsaturated fatty acids supplementation on nutritional status in patients with pancreatic cancer: a systematic review and meta-analysis.,Patients with pancreatic cancer frequently experience malnutrition that is often unresponsive to conventional nutritional interventions.,PeerJ,2026
42144851,Meta Analysis of DHA and EPA Supplementation on Cardiovascular Outcomes and Atrial Fibrillation Risk.,"Cardiovascular diseases (CVD) remain to impose a main global burden of morbidity and mortality despite advances in anticipation and treatment. Omega-3 fatty acids, mainly eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), have been extensively studied for potential cardioprotective effects, yet their impact on cardiovascular outcomes remains debated due to heterogeneity in formulation, dose, and patient subgroups. This meta-analysis evaluated the effects of EPA and DHA supplementation o...",Pharmacology research & perspectives,2026-Jun
42144109,Krill oil increases plasma omega-3 fatty acids more than fish oil in healthy adults: a double-blind randomized controlled trial.,"Omega-3 fatty acids (ω-3 FAs), particularly EPA and DHA, are recognized for their health benefits. However, their circulating levels after supplementation may be modulated by several factors, including sex, carriage of the apolipoprotein E ε4 (APOE4) allele, and the chemical form of the supplement. Krill oil delivers ω-3 FAs primarily as phospholipids, whereas fish oil provides them as triglycerides.",The American journal of clinical nutrition,2026-Jul
42124047,"Effects of LC n-3 PUFA Supplementation on Muscle Pain, Function, and Damage Markers in Healthy Young to Middle-Aged Adults Following Acute or Chronic Exercise: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.","Background: Supplementation with long-chain omega-3 polyunsaturated fatty acids (LC n-3 PUFAs), particularly eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), may mitigate exercise-induced muscle damage (EIMD) and enhance post-exercise recovery. However, the systematic reviews/meta-analyses evaluating these effects across populations and exercise models are limited and do not provide dosing recommendations. Objective: This systematic review and meta-analysis aimed to evaluate the effec...",Nutrients,2026-Apr
42115081,Effect of omega-3 supplementation vs. placebo on blood lipid levels in patients with ischemic heart disease: a systematic review and meta-analysis.,"Residual dyslipidemia persists in ischemic heart disease (IHD) patients despite statins. Omega-3 fatty acids may help, but their precise lipid effects and clinical integration need clarification. This meta-analysis aims to evaluate omega-3's impact on lipid profiles in IHD and contextualize findings within modern prevention strategies.","Nutrition, metabolism, and cardiovascular diseases : NMCD",2026-Sep
42074991,DHA: Nutritional Programming During the First 1000 Days of Life.,"The first 1000 days of life, from conception to 2 years of age, represent a critical window during which nutrition can exert long-lasting effects on neurodevelopment, immune maturation, and susceptibility to prematurity-related morbidity. Docosahexaenoic acid (DHA) is a key structural n-3 long-chain polyunsaturated fatty acid of the brain and retina, characterized by rapid fetal accretion during the third trimester.",Nutrients,2026-Apr
42042214,"A Review of Omega-3 Fatty Acids from Marine Source Supplements and Enhanced Food Effects on Children's Development, Neurological and Metabolic Disorders and General Health.","Long-chain polyunsaturated fatty acids (LC-PUFAs) of omega-3 family, particularly docosahexaenoic acid and eicosapentaenoic acid, are essential nutrients that play a critical role in children's growth and health. This review examines the evidence on the effects of omega-3 supplements and omega-3-enhanced foods on children's development, as well as on neurological and metabolic disorders. Research consistently highlights the importance of DHA in brain and visual development, especially during ear...",Marine drugs,2026-Apr
42025271,"Early maternal DHA supplementation fails to modify clinical phenotypes associated with impaired placentation: A randomized, double-blind, placebo-controlled trial (DEEPER trial).","Defective deep placentation contributes to major obstetric complications, including preterm birth, preeclampsia (PE), and severe fetal growth restriction (FGR). Docosahexaenoic acid (DHA) supplementation may improve placental function, but evidence from randomized trials remains inconsistent.",Placenta,2026-May
41977184,Maternal Omega-3 PUFA Supplementation and Mitochondrial Function in a Newborn Piglet Model: A Preliminary Investigation.,"Maternal nutrition during pregnancy plays a crucial role in fetal development and metabolic programming. Long-chain omega-3 polyunsaturated fatty acids (LC-PUFA n-3), particularly eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), are known to influence mitochondrial function and cellular energy metabolism. The present preliminary study aimed to evaluate the effects of maternal omega-3 supplementation on mitochondrial bioenergetics in neonatal piglets. Pregnant sows were supplemented wi...",International journal of molecular sciences,2026-Mar
41954708,Synergistic Neuroprotection of MFSD2A Overexpression and DHA Supplementation in Amyotrophic Lateral Sclerosis.,"Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disorder characterized by progressive motor neuron loss, with limited effective therapies. Docosahexaenoic acid (DHA) exhibits neuroprotective effects, but its limited transport across the blood-brain barrier (BBB) restricts clinical utility. Major facilitator superfamily domain-containing protein 2A (MFSD2A) is the primary transporter of DHA into the central nervous system, yet its role in ALS remains unclear. This study investiga...",Molecular neurobiology,2026-Apr
41933837,Pilot Randomized Controlled Trial of Krill Oil Supplementation for Chronic Musculoskeletal Pain in Older Adults.,"Chronic musculoskeletal (MSK) pain is highly prevalent in older adults and the leading cause of disability. Long-chain omega-3 (ω-3) polyunsaturated fatty acids have anti-inflammatory and analgesic properties, yet intake and circulating levels are low in older US adults. Krill oil, a phospholipid-bound source of eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) that also contains astaxanthin and choline, may represent a feasible nutrition-based intervention for chronic MSK pain.",The Journal of nutrition,2026-Jun
41901082,Dietary Bioactives in Alzheimer's Disease: A Critical Appraisal of Clinical Trials and Future Nutritional Strategies.,"Background: Alzheimer's disease (AD) remains a major public health challenge. Observational associations between dietary patterns and reduced dementia risk have prompted investigations of dietary bioactives (DBs) as cognitive nutraceuticals. Methods: This critical narrative review examines interventional trials for nine prominent DBs relevant to AD: docosahexaenoic acid (DHA), curcumin, resveratrol, epigallocatechin gallate (EGCG), nicotinamide riboside (NR), tricaprilin, vitamin E (α-tocopherol...",Nutrients,2026-Mar
41891174,Effects of Omega-3 Supplementation on Inflammation and Recovery in Sports: A Meta-Analysis.,"Omega-3 polyunsaturated fatty acids (PUFAs) are known to modulate inflammatory signaling and enhance muscle recovery from exercise-induced stress. In this work, a meta-analysis was conducted that adhered to the PRISMA 2020 criteria, incorporating evidence from 41 randomized controlled trials on eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) supplementation, all of which had been conducted as evidence between 2011 and 2025 and evaluated the effects of EPA and DHA supplementation on th...",FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2026-Apr
41847904,Effect of high-docosahexaenoic acid omega-3 supplementation in low-risk pregnant women on maternal and neonatal health outcomes in Southeast Brazil: a randomized clinical trial.,"Despite well-documented benefits of omega-3 for maternal and child health, evidence on high-docosahexaenoic acid (DHA) supplementation in low-risk pregnant women is limited. A randomized, double-blind, placebo-controlled trial was conducted among low-risk pregnant women aged 20-40 years at 22-24 weeks of gestation to evaluate the effects of high-DHA omega-3 supplementation on maternal and neonatal health outcomes. The control group (CG, n = 30) received oral olive oil supplementation, and the in...",Journal of tropical pediatrics,2026-Feb
41826682,Improved muscle recovery after omega-3 supplementation is associated with increased oxylipin availability.,"Eccentric exercise-induced muscle damage (EIMD) impairs muscle function and recovery. While omega-3 polyunsaturated fatty acid (n-3 PUFA) supplementation has shown promise in mitigating EIMD, the role of their oxidation products (oxylipins) remains unclear. This study investigated the effects of 8-week n-3 PUFA supplementation on muscle recovery and its relationship with blood oxylipin profiles after EIMD in healthy men. Eighteen participants were randomly assigned into two groups: OMEGA (n = 9 ...",Scientific reports,2026-Mar
41764841,Nutritional supplements and cognition in healthy aging and mild cognitive impairment patients: a systematic review and network meta-analysis.,"Nutritional supplementation is increasingly regarded as a potential strategy to preserve or enhance cognitive function in individuals with healthy aging and mild cognitive impairment (MCI). However, its overall efficacy remains uncertain due to inconsistent findings across clinical trials.",The journal of prevention of Alzheimer's disease,2026-May
41760148,"Omega-3 polyunsaturated fatty acid supplementation for muscle health in community-dwelling older adults at high risk of sarcopenia: protocol for a multicentre, randomised, double-blind, placebo-controlled trial.","Sarcopenia imposes a substantial burden on society, while omega-3 polyunsaturated fatty acid (n-3 PUFA) supplementation holds the potential for preventing and treating this condition. This study aims to investigate the efficacy of three different n-3 PUFA supplementation regimens compared with each other and to corn oil placebo intervention on muscle health in community-dwelling older adults at high risk of sarcopenia.",BMJ open,2026-Feb
41754084,Effects of Structured Lipid Supplementation for Eight Weeks on Substrate Utilization During Moderate Intensity Exercise in Healthy Untrained Men.,"Background: Structured lipids, composed of re-esterified triacylglycerols containing eicosapentaenoic acid (EPA), docosahexaenoic acid (DHA), and medium-chain fatty acids, may influence metabolism and endurance performance. This trial aimed to evaluate the effects of eight weeks of structured lipid supplementation on substrate utilization, erythrocyte fatty acid content, and endurance performance in healthy untrained men. Methods: In a double-blind, placebo-controlled, randomized design, 36 part...",Nutrients,2026-Feb
41725207,Higher Increases in Plasma n-3 Polyunsaturated Fatty Acids Following Fish Oil Supplementation in Postmenopausal Females Compared With Age-Matched Males.,"The effects of fish oil supplementation on omega-3 (n-3) polyunsaturated fatty acids, particularly intermediates between eicosapentaenoic acid (EPA, 20:5n-3) and docosahexaenoic acid (DHA, 22:6n-3), that may provide valuable metabolic information, have not been fully characterized in older populations. A total of 10 postmenopausal females (69.6 ± 2.6 years, mean ± SEM) and 10 age-matched males (70.0 ± 2.4) were supplemented with fish oil (1.8 g/day EPA and 1.4 g/day DHA) for 5 months, and blood ...",Lipids,2026-Jul
41692177,Protective Effect of Docosahexaenoic Acid Supplementation during Pregnancy against Lipopolysaccharide-Induced Intrauterine Growth Restriction in Fetal Mice.,Fetal growth restriction (FGR) is a leading cause of perinatal mortality worldwide and is strongly associated with maternal-fetal inflammation. Nutritional interventions that mitigate inflammatory stress during pregnancy may represent a viable strategy to improve fetal outcomes.,The Journal of nutrition,2026-Apr
41692069,Anti-inflammatory effects and safety of omega-3 fatty acids in haemodialysis: A systematic review and meta-analysis.,"Evidence on the anti-inflammatory effects and safety of omega-3 fatty acid supplementation in haemodialysis (HD) patients remains limited, particularly regarding the influence of eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) dose, composition, and source.",Clinical nutrition ESPEN,2026-Apr
41687435,Docosahexaenoic acid supplementation aggravates myasthenia gravis through immune dysregulation.,"Myasthenia gravis (MG) is an autoimmune disorder characterized by the disruption of immune cell homeostasis and inflammatory processes. However, the impact of metabolic abnormalities on immune regulation in MG has not been well defined. The objective of this study was to identify serum metabolites causally linked to MG and to explore their role in the onset and progression of the disease. This will provide a theoretical foundation for targeted clinical interventions and therapeutic strategies. T...",Journal of neuroimmunology,2026-May
41679432,"Vitamin D3 Cosupplementation with Eicosapentaenoic Acid and Docosahexaenoic Acid: A Molecular, Clinical and Regulatory Perspective.","EPA, DHA, and vitamin D3 are pivotal micronutrients, with well-established roles in maintaining physiological function and preventing disease. This comprehensive review explores their individual molecular pathways and synergistic interactions that arise from their cosupplementation. This review synthesizes evidence from a spectrum of sources, including foundational preclinical studies and large-scale randomized controlled trials, to elucidate the efficacy and safety across various health conditi...",The Journal of nutrition,2026-Apr
41632188,Modulation of inflammasome components in patients with heart failure using oral nutritional supplements: investigating the molecular mechanisms beyond the clinical benefit.,"PURPOSE: Inflammation is a key contributor to the pathogenesis and progression of heart failure (HF), correlating with increased morbidity and mortality. This study aimed to evaluate the molecular impact of a 24-week nutritional intervention on inflammasome-related components in HF patients, comparing a Mediterranean diet alone versus the same diet supplemented with hypercaloric, high-protein oral nutritional supplements (ONS) enriched with eicosapentaenoic acid (EPA) and docosahexaenoic acid (D...",European journal of nutrition,2026-Feb
41609959,Omega-3 dietary supplementation combined with exercise to keep telomere integrity in the liver of aged obese female mice.,"Telomere shortening is a key marker of cellular aging and linked to pathologies such as liver disease. Oxidative stress and inflammation (hallmarks of obesity) contribute to telomere shortening, while omega-3 (DHA) and exercise may counteract these effects by enhancing cellular homeostasis. This study aims to analyze the influence of DHA supplementation and/or exercise over one year on liver telomere length in obese aged mice. Two-month-old female mice were fed either a control or high-fat diet ...",Journal of physiology and biochemistry,2026-Jan
41603552,The effects of marine fatty acid omega-3 supplements on incident fractures and bone mineral density in generally healthy adults.,"Although preclinical studies suggest that omega-3 fatty acids may benefit skeletal health, there are few randomized controlled trials investigating effects of supplemental omega-3 on bone outcomes. This VITamin D and OmegA-3 TriaL (VITAL) ancillary study investigated effects of marine omega-3 (1 g/d; EPA+DHA in a 1.2:1 ratio) vs placebo supplements on fracture risk and bone density/structure. VITAL is a 2 × 2 factorial randomized placebo-controlled trial that studied effects of supplemental mari...",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2026-Mar
41578634,"Omega-3 fatty acid supplementation does not attenuate declines in skeletal muscle mitochondrial area in young, healthy females during immobilization.","Mitochondrial subcellular area influences function. Muscle disuse reduces mitochondrial content; however, its effect on mitochondrial subcellular location is unclear. Omega-3 fatty acid (n-3) attenuates declines in muscle mass and mitochondrial function during disuse; however, whether n-3 supplementation prevents the decline in mitochondrial content has not been examined. We investigated the effects of 2 weeks of leg immobilization followed by 2 weeks of remobilization on skeletal muscle mitocho...",Physiological reports,2026-Jan
41568898,Effects of fish oil supplementation on biomarkers of vascular endothelial function in middle-aged and older adults: a randomized controlled trial.,"Objective: This trial evaluated marine-derived omega-3 supplementation for primary cardiovascular prevention in middle-aged and elderly adults, focusing on endothelial activation markers and vasodilation. Methods: 240 participants were randomized to four groups receiving 0 g, 1 g, 2 g, or 4 g daily of fish oil (containing 129 mg DHA and 182 mg EPA per gram) for 12 weeks. Fasting blood samples were analyzed for fatty acids and endothelial function biomarkers (NO, ET-1, ICAM-1, MCP-1, Ox-LDL) at b...",Food & function,2026-Feb
41568426,Role of the EPA: DHA dosing ratio in omega-3 supplements on blood fatty acid profiles and inflammation: a systematic review and meta-analysis.,"Most omega-3 supplements contain eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) in defined ratios, yet their pharmacokinetic and anti-inflammatory effects are not fully understood. This systematic review and meta-analysis evaluated how EPA:DHA dosing ratios, alongside EPA+DHA daily dose, influence blood fatty acid profiles and inflammatory markers across 96 clinical trials published before February 2025. Standardized mean differences with 95% confidence intervals were calculated. EPA...",Critical reviews in food science and nutrition,2026
41520879,"An exploratory, open-label, pilot randomized trial of omega-3 fatty acid supplementation on serum ferritin in university female students: The OMEGA-3 FA study.","Omega-3 polyunsaturated fatty acids (n-3 PUFAs) have unique properties that are advantageous for female. However, no study has explored the effects of omega-3 PUFA supplementation on serum ferritin levels. Thus, the objective of this study was to investigate the effects of omega-3 PUFA supplementation on serum ferritin levels in university female students.",Clinical nutrition ESPEN,2026-Apr
41506327,Omega-3 Fatty Acids Supplementation Improves Pulmonary Function and Clinical Outcomes in Critically Ill Patients: a Meta-Analysis.,"Although several studies have examined the relationship between omega-3 (ω-3) fatty acids and pulmonary function and clinical outcomes in critically ill patients, their findings remain mixed and inconclusive, and additional research is warranted.",The Journal of nutrition,2026-Mar
41496433,Skeletal muscle protein turnover and mitochondrial responses to omega-3 fatty acid supplementation: an update.,"To critically review recent findings related to the effects of omega-3 fatty acid supplementation on skeletal muscle, with a particular focus on skeletal muscle protein turnover and mitochondrial function.",Current opinion in clinical nutrition and metabolic care,2026-Mar
41493572,Omega-3 Fatty Acid Supplementation and Vascular Health Biomarkers - A Systematic Review and Meta-Analysis.,"Cardiovascular diseases (CVDs) remain the leading global cause of death, partly due to vascular dysfunction. Dietary supplements, including omega-3 fatty acids, are suggested to support vascular health, but their therapeutic effectiveness and optimal dosing are still uncertain.",Journal of the American Nutrition Association,2026-Jul
